Código Candidato,Data de nascimento,Série,Unidade,Data de Inscrição,Data da matrícula,Tipo,Bolsa (%),Real Anuidade
CL12890,31/3/2008,3ª série,Carlos Prates,18/08/2024 22:46,02/10/2024,Rematrícula,"49,80%",18.226
CL12894,26/09/2012,7º ano,Santa Amélia,18/08/2024 22:47,25/10/2024,Rematrícula,"45,70%",16.503
CL12895,16/9/2012,7º ano,Alípio de Melo,18/08/2024 22:45,24/09/2024,Rematrícula,"50,00%",15.303
CL12897,15/4/2012,8º ano,Mais Cidade Nova,18/08/2024 22:46,03/10/2024,Rematrícula,"63,00%",15.918
CL12898,21/03/2014,6º ano bilíngue,Mais Pampulha,18/08/2024 22:44,03/10/2024,Rematrícula,"56,60%",29.377
CL12899,09/03/2012,8º ano,Ouro Preto,18/08/2024 22:44,18/11/2024,Rematrícula,"48,50%",18.27
CL12900,10/9/2008,2ª série,Santa Amélia,18/08/2024 22:46,24/09/2024,Rematrícula,"25,00%",25.369
CL12901,,3ª série,,18/08/2024 22:46,,Rematrícula,,
CL12903,,6º ano,,18/08/2024 22:46,,Rematrícula,,
CL12904,12/4/2010,1ª série,Ouro Preto Integral,18/08/2024 22:46,30/10/2024,Rematrícula,"45,00%",22.129
CL12907,26/04/2006,4º ano,Ouro Preto,18/08/2024 22:44,03/10/2024,Rematrícula,"100,00%",467.0
CL12910,8/11/2007,2ª série,Carlos Prates,18/08/2024 22:47,19/12/2024,Rematrícula,"39,70%",19.752
CL12912,23/09/2008,2ª série,Mais Cidade Nova,18/08/2024 22:46,17/12/2024,Rematrícula,"62,00%",18.536
CL12914,4/7/2014,5º ano,Lagoa Santa,18/08/2024 22:45,24/09/2024,Rematrícula,"55,00%",12.051
CL12918,10/9/2013,6º ano,Ouro Preto,18/08/2024 22:46,29/01/2025,Rematrícula,"45,00%",19.326
CL12919,26/6/2015,4º ano bilíngue,Mais Pampulha,18/08/2024 22:44,11/10/2024,Rematrícula,"54,40%",26.42
CL12920,,3º ano,,18/08/2024 22:44,,Rematrícula,,
CL12921,30/09/2009,1ª série,Ouro Preto,18/08/2024 22:44,22/01/2025,Rematrícula,"42,00%",22.421
CL12922,,1ª série,,18/08/2024 22:47,,Rematrícula,,
CL12926,16/1/2014,6º ano,Alípio de Melo,18/08/2024 22:46,18/10/2024,Rematrícula,"35,00%",15.773
CL12927,19/09/2016,3º ano,Castelo,18/08/2024 22:45,15/10/2024,Rematrícula,"45,00%",14.134
CL12928,23/1/2011,9º ano,Alípio de Melo,18/08/2024 22:46,18/10/2024,Rematrícula,"56,30%",13.082
CL12929,,4º ano bilíngue,,18/08/2024 22:46,,Rematrícula,,
CL12933,05/06/2013,7º ano,Jaraguá,18/08/2024 22:45,04/11/2024,Rematrícula,"100,00%",473.0
CL12938,3/7/2013,6º ano,Conceição do Mato Dentro,18/08/2024 22:47,29/01/2025,Rematrícula,"21,60%",15.362
CL12949,23/07/2020,Infantil 4,Ouro Preto,18/08/2024 22:46,27/09/2024,Rematrícula,"40,00%",15.351
CL1295,14/3/2014,6º ano,Carlos Prates,18/08/2024 22:44:00,28/09/2024,Rematrícula,"46,60%",16.183
CL12950,15/12/2014,5º ano bilíngue,Mais Buritis,18/08/2024 22:45,03/02/2025,Rematrícula,"70,00%",16.13
CL12952,5/6/2015,4º ano bilíngue,Mais Buritis,18/08/2024 22:46,10/09/2024,Rematrícula,"55,50%",26.412
CL12954,20/05/2014,6º ano,Santa Amélia,18/08/2024 22:46,14/01/2025,Rematrícula,"61,20%",13.028
CL12956,,7º ano,,18/08/2024 22:46,,Rematrícula,,
CL12962,27/05/2011,8º ano,Conceição do Mato Dentro,18/08/2024 22:47,30/01/2025,Rematrícula,"21,60%",15.362
CL12964,24/4/2008,2ª série,Santa Amélia,18/08/2024 22:45,25/11/2024,Rematrícula,"50,00%",17.827
CL12967,5/12/2007,3ª série,Carajás,18/08/2024 22:45,12/12/2024,Rematrícula,"100,00%",24.615
CL12969,8/8/2007,3ª série,Ouro Preto,18/08/2024 22:47,24/09/2024,Rematrícula,"11,50%",36.906
CL1297,,2º ano bilíngue,,18/08/2024 22:44:00,,Rematrícula,,
CL12971,26/04/2016,3º ano bilíngue,Carajás,18/08/2024 22:45,17/01/2025,Rematrícula,"100,00%",0.0
CL12974,20/12/2007,3ª série,Ouro Preto Integral,18/08/2024 22:46,13/11/2024,Rematrícula,"48,00%",23.855
CL12976,24/11/2007,3ª série,Alípio de Melo,18/08/2024 22:47,30/09/2024,Rematrícula,"50,00%",19.041
CL12978,06/07/2007,3ª série,Ouro Preto,18/08/2024 22:47,24/09/2024,Rematrícula,"30,00%",29.91
CL12979,14/02/2009,2ª série,Ouro Preto Integral,18/08/2024 22:47,30/09/2024,Rematrícula,"35,00%",26.752
CL12980,17/3/2015,5º ano,Gutierrez,18/08/2024 22:46,23/12/2024,Rematrícula,"16,20%",23.5
CL12988,22/11/2014,5º ano,Santa Amélia,18/08/2024 22:46,24/01/2025,Rematrícula,"54,00%",12.762
CL12994,14/07/2011,8º ano,Carlos Prates,18/08/2024 22:45,26/12/2024,Rematrícula,"100,00%",0.0
CL13001,7/10/2019,Infantil 5 bilíngue,Mais Pampulha,18/08/2024 22:46,09/10/2024,Rematrícula,"55,00%",23.149
CL13002,10/07/2012,7º ano,Santa Amélia,18/08/2024 22:45,20/12/2024,Rematrícula,"50,00%",16.075
CL13009,15/10/2008,2ª série,Gutierrez,18/08/2024 22:44,30/09/2024,Rematrícula,"55,40%",18.317
CL13010,,9º ano,,18/08/2024 22:47,,Rematrícula,,
CL13011,24/05/2020,Infantil 4 bilíngue,Mais Cidade Nova,18/08/2024 22:45,11/10/2024,Rematrícula,"70,00%",17.613
CL13016,28/10/2011,8º ano,Gutierrez,18/08/2024 22:46,09/12/2024,Rematrícula,"47,00%",18.447
CL13017,,7º ano,,18/08/2024 22:45,,Rematrícula,,
CL13018,01/03/2021,Infantil 4 bilíngue,Mais Pampulha,18/08/2024 22:45,02/10/2024,Rematrícula,"53,00%",24.265
CL13022,21/12/2009,1ª série,Alípio de Melo,18/08/2024 22:47,21/11/2024,Rematrícula,"45,10%",18.215
CL13023,25/1/2015,5º ano bilíngue,Mais Cidade Nova,18/08/2024 22:44,17/10/2024,Rematrícula,"70,00%",18.088
CL13024,28/03/2009,2ª série,Carlos Prates,18/08/2024 22:47,07/10/2024,Rematrícula,"100,00%",0.0
CL13026,,1ª série,,18/08/2024 22:46,,Rematrícula,,
CL13028,28/6/2009,2ª série,Santa Amélia,18/08/2024 22:46,08/10/2024,Rematrícula,"54,00%",16.62
CL13031,10/07/2016,3º ano,Jaraguá,18/08/2024 22:44,26/09/2024,Rematrícula,"40,00%",14.835
CL13033,16/11/2009,1ª série,Carajás,18/08/2024 22:45,08/01/2025,Rematrícula,"100,00%",24.615
CL13034,16/7/2009,1ª série,Gutierrez,18/08/2024 22:46,01/11/2024,Rematrícula,"31,00%",25.729
CL13036,24/8/2010,9º ano,Conceição do Mato Dentro,18/08/2024 22:44,06/01/2025,Rematrícula,"75,00%",19.155
CL13037,24/3/2016,4º ano,Alípio de Melo,18/08/2024 22:45,19/12/2024,Rematrícula,"50,00%",13.031
CL13038,,Infantil 5,,18/08/2024 22:46,,Rematrícula,,
CL13039,23/7/2011,8º ano,Alípio de Melo,18/08/2024 22:46,27/08/2024,Rematrícula,"46,60%",16.183
CL13041,28/2/2014,6º ano bilíngue,Mais Cidade Nova,18/08/2024 22:44,13/12/2024,Rematrícula,"72,40%",18.415
CL13042,9/2/2008,2ª série,Gutierrez,18/08/2024 22:46,09/10/2024,Rematrícula,"40,00%",23.57
CL13043,12/09/2017,2º ano,Ouro Preto,18/08/2024 22:46,06/09/2024,Rematrícula,"50,00%",15.173
CL13045,,3ª série,,18/08/2024 22:47,,Rematrícula,,
CL13047,,3º ano,,18/08/2024 22:45,,Rematrícula,,
CL13050,18/4/2011,9º ano,Santa Amélia,18/08/2024 22:47,02/10/2024,Rematrícula,"14,70%",21.459
CL13052,20/04/2014,5º ano,Carajás,18/08/2024 22:44,10/12/2024,Rematrícula,"100,00%",22.238
CL13053,25/2/2012,8º ano,Mais Belvedere,18/08/2024 22:46,02/09/2024,Rematrícula,"55,60%",20.367
CL13054,,1ª série,,18/08/2024 22:46,,Rematrícula,,
CL13055,,6º ano,,18/08/2024 22:47,,Rematrícula,,
CL13056,31/05/2011,8º ano,Lagoa Santa,18/08/2024 22:45,24/12/2024,Rematrícula,"36,00%",19.035
CL13057,07/06/2017,2º ano,Ouro Preto,18/08/2024 22:44,05/09/2024,Rematrícula,"45,00%",16.457
CL13060,,3ª série,,18/08/2024 22:45,,Rematrícula,,
CL13063,1/8/2009,1ª série,Alípio de Melo,18/08/2024 22:44,27/01/2025,Rematrícula,"60,00%",12.68
CL13070,17/10/2015,4º ano,Conceição do Mato Dentro,18/08/2024 22:45,23/12/2024,Rematrícula,"50,00%",16.387
CL13074,,3º ano bilíngue,,18/08/2024 22:45,,Rematrícula,,
CL13076,,Infantil 3 bilíngue,,18/08/2024 22:46,,Rematrícula,,
CL13077,29/01/2020,Infantil 5,Castelo Manacás,18/08/2024 22:45,03/10/2024,Rematrícula,"23,80%",14.389
CL13079,02/03/2009,2ª série,Ouro Preto,18/08/2024 22:44,22/10/2024,Rematrícula,"41,70%",22.521
CL1308,25/06/2007,3ª série,Alípio de Melo,18/08/2024 22:44:00,02/10/2024,Rematrícula,"28,00%",26.13
CL13081,22/3/2018,2º ano,Carajás,18/08/2024 22:44,21/11/2024,Rematrícula,"100,00%",22.238
CL13082,30/12/2014,5º ano,Castelo Manacás,18/08/2024 22:44,13/01/2025,Rematrícula,"40,00%",15.236
CL13083,5/7/2007,3ª série,Ouro Preto,18/08/2024 22:46,02/01/2025,Rematrícula,"35,00%",28.019
CL13084,19/6/2013,7º ano,Conceição do Mato Dentro,18/08/2024 22:45,02/12/2024,Rematrícula,"30,00%",19.155
CL13085,,5º ano bilíngue,,18/08/2024 22:46,,Rematrícula,,
CL13086,21/07/2019,Infantil 5,Castelo Manacás,18/08/2024 22:46,20/08/2024,Rematrícula,"62,00%",9.485
CL13087,26/09/2013,6º ano,Alípio de Melo,18/08/2024 22:45,09/10/2024,Rematrícula,"36,00%",18.693
CL13089,22/09/2015,4º ano,Santa Amélia,18/08/2024 22:46,10/09/2024,Rematrícula,"49,90%",13.712
CL1309,18/1/2015,5º ano,Castelo,18/08/2024 22:45:00,25/09/2024,Rematrícula,"41,30%",14.949
CL13091,28/3/2016,4º ano,Alípio de Melo,18/08/2024 22:46,04/12/2024,Rematrícula,"60,00%",10.826
CL13094,29/08/2015,4º ano,Castelo,18/08/2024 22:45,02/10/2024,Rematrícula,"50,00%",13.031
CL13101,8/9/2010,9º ano,Alípio de Melo,18/08/2024 22:44,12/11/2024,Rematrícula,"60,00%",12.713
CL13109,03/07/2015,4º ano,Santa Amélia,18/08/2024 22:45,23/10/2024,Rematrícula,"51,40%",13.364
CL13111,30/08/2011,8º ano,Carlos Prates,18/08/2024 22:47,01/11/2024,Rematrícula,"100,00%",471.0
CL13117,30/04/2012,8º ano,Jaraguá,18/08/2024 22:44,12/11/2024,Rematrícula,"50,00%",15.373
CL13121,17/7/2019,Infantil 5,Mais Belvedere,18/08/2024 22:46,16/01/2025,Rematrícula,"100,00%",819.0
CL13125,25/1/2011,9º ano,Conceição do Mato Dentro,18/08/2024 22:47,28/01/2025,Rematrícula,"8,80%",17.623
CL13128,,3ª série,,18/08/2024 22:47,,Rematrícula,,
CL13130,13/01/2011,9º ano,Jardim Canadá,18/08/2024 22:46,01/10/2024,Rematrícula,"24,30%",25.191
CL13135,,7º ano,,18/08/2024 22:44,,Rematrícula,,
CL13136,,9º ano,,18/08/2024 22:45,,Rematrícula,,
CL13139,18/11/2010,9º ano,Conceição do Mato Dentro,18/08/2024 22:47,09/01/2025,Rematrícula,"75,00%",19.155
CL1314,02/09/2012,7º ano,Ouro Preto,18/08/2024 22:45:00,11/10/2024,Rematrícula,"45,00%",19.326
CL13140,,1ª série,,18/08/2024 22:45,,Rematrícula,,
CL13143,22/10/2010,9º ano,Carlos Prates,18/08/2024 22:45,04/10/2024,Rematrícula,"55,00%",14.008
CL13144,,5º ano,,18/08/2024 22:46,,Rematrícula,,
CL13145,24/11/2008,2ª série,Santa Amélia,18/08/2024 22:47,19/10/2024,Rematrícula,"60,00%",14.81
CL13146,05/10/2017,2º ano,Castelo,18/08/2024 22:46,09/12/2024,Rematrícula,"57,00%",10.886
CL13151,4/8/2020,Infantil 4,Jaraguá,18/08/2024 22:45,06/09/2024,Rematrícula,"55,00%",10.845
CL13154,,3ª série,,18/08/2024 22:46,,Rematrícula,,
CL13156,6/10/2011,8º ano,Jaraguá,18/08/2024 22:44,03/11/2024,Rematrícula,"30,00%",20.576
CL13161,12/9/2010,9º ano,Santa Amélia,18/08/2024 22:45,09/12/2024,Rematrícula,"60,00%",12.86
CL13164,23/7/2018,1º ano,Lagoa Santa,18/08/2024 22:45,02/10/2024,Rematrícula,"40,00%",15.393
CL13166,16/04/2007,3ª série,Ouro Preto Integral,18/08/2024 22:45,04/10/2024,Rematrícula,"45,00%",26.196
CL13169,30/11/2011,8º ano,Alípio de Melo,18/08/2024 22:44,09/10/2024,Rematrícula,"38,80%",17.85
CL13170,18/01/2016,4º ano,Castelo Manacás,18/08/2024 22:44,24/09/2024,Rematrícula,"46,00%",13.312
CL13171,14/08/2017,2º ano,Castelo,18/08/2024 22:46,10/09/2024,Rematrícula,"57,00%",11.086
CL13172,11/01/2013,7º ano,Santa Amélia,18/08/2024 22:47,02/12/2024,Rematrícula,"38,00%",19.339
CL13173,,6º ano bilíngue,,18/08/2024 22:45,,Rematrícula,,
CL13175,17/10/2008,2ª série,Mais Belvedere,18/08/2024 22:47,11/11/2024,Rematrícula,"10,80%",41.927
CL13179,8/5/2016,4º ano,Gutierrez,18/08/2024 22:45,04/10/2024,Rematrícula,"30,00%",20.009
CL1318,24/10/2011,8º ano,Alípio de Melo,18/08/2024 22:46:00,22/10/2024,Rematrícula,"49,40%",14.94
CL13180,28/01/2012,8º ano,Ouro Preto,18/08/2024 22:45,15/10/2024,Rematrícula,"37,90%",21.467
CL13181,,8º ano,,18/08/2024 22:45,,Rematrícula,,
CL13183,10/05/2011,9º ano,Lagoa Santa,18/08/2024 22:46,13/09/2024,Rematrícula,"28,00%",21.118
CL13185,15/06/2007,3ª série,Carlos Prates,18/08/2024 22:44,09/12/2024,Rematrícula,"50,40%",18.912
CL13186,26/03/2012,8º ano,Carajás,18/08/2024 22:45,11/12/2024,Rematrícula,"100,00%",23.427
CL13188,29/11/2021,Infantil 3 bilíngue,Carajás,18/08/2024 22:45,23/11/2024,Rematrícula,"100,00%",15.966
CL13192,15/07/2014,5º ano,Lagoa Santa,18/08/2024 22:46,18/10/2024,Rematrícula,"40,00%",15.19
CL13193,25/2/2016,4º ano,Santa Amélia,18/08/2024 22:44,13/11/2024,Rematrícula,"50,00%",13.057
CL13195,,6º ano bilíngue,,18/08/2024 22:45,,Rematrícula,,
CL13198,,1º ano bilíngue,,18/08/2024 22:45,,Rematrícula,,
CL13201,26/06/2013,6º ano bilíngue,Carajás,18/08/2024 22:45,26/12/2024,Rematrícula,"100,00%",38.376
CL13205,28/7/2018,1º ano,Castelo Manacás,18/08/2024 22:45,09/09/2024,Rematrícula,"48,00%",13.472
CL13207,23/1/2016,4º ano,Jaraguá,18/08/2024 22:46,29/01/2025,Rematrícula,"48,00%",13.071
CL13208,28/10/2011,8º ano,Alípio de Melo,18/08/2024 22:46,09/09/2024,Rematrícula,"50,00%",15.303
CL1321,09/02/2017,3º ano,Castelo,18/08/2024 22:46:00,20/10/2024,Rematrícula,"60,00%",10.224
CL13210,12/04/2018,1º ano,Conceição do Mato Dentro,18/08/2024 22:45,22/11/2024,Rematrícula,"100,00%",11.471
CL13219,,1ª série,,18/08/2024 22:46,,Rematrícula,,
CL13221,25/3/2019,1º ano,Castelo,18/08/2024 22:46,22/10/2024,Rematrícula,"50,00%",12.67
CL13222,01/08/2015,4º ano,Carlos Prates,18/08/2024 22:44,02/10/2024,Rematrícula,"47,70%",13.538
CL13226,05/11/2014,5º ano bilíngue,Carajás,18/08/2024 22:46,02/01/2025,Rematrícula,"100,00%",32.408
CL13228,13/09/2014,5º ano bilíngue,Mais Pampulha,18/08/2024 22:45,26/09/2024,Rematrícula,"63,70%",20.41
CL1323,6/11/2008,2ª série,Santa Amélia,18/08/2024 22:46:00,30/11/2024,Rematrícula,"56,00%",16.017
CL13231,26/8/2011,8º ano,Alípio de Melo,18/08/2024 22:47,13/11/2024,Rematrícula,"37,50%",18.54
CL13233,19/10/2012,7º ano,Lagoa Santa,18/08/2024 22:44,13/12/2024,Rematrícula,"55,00%",14.087
CL13236,14/8/2017,2º ano,Jaraguá,18/08/2024 22:46,09/12/2024,Rematrícula,"40,00%",14.434
CL13239,19/04/2009,1ª série,Ouro Preto,18/08/2024 22:46,28/12/2024,Rematrícula,"65,00%",14.734
CL13241,13/09/2015,4º ano,Alípio de Melo,18/08/2024 22:46,20/09/2024,Rematrícula,"55,50%",11.818
CL13247,9/11/2020,Infantil 4 bilíngue,Mais Belvedere,18/08/2024 22:46,29/01/2025,Rematrícula,"70,00%",15.639
CL1325,25/02/2011,8º ano,Carlos Prates,18/08/2024 22:47:00,16/09/2024,Rematrícula,"100,00%",2.354
CL13250,22/3/2010,1ª série,Lagoa Santa,18/08/2024 22:44,20/01/2025,Rematrícula,"55,00%",15.556
CL13251,1/12/2012,7º ano,Ouro Preto,18/08/2024 22:46,02/10/2024,Rematrícula,"50,00%",16.996
CL13253,6/5/2020,Infantil 4 bilíngue,Carajás,18/08/2024 22:45,04/12/2024,Rematrícula,"100,00%",16.976
CL13256,11/12/2016,3º ano,Castelo Manacás,18/08/2024 22:47,12/09/2024,Rematrícula,"60,00%",10.826
CL13257,20/12/2016,3º ano,Santa Amélia,18/08/2024 22:45,13/09/2024,Rematrícula,"38,80%",16.283
CL13258,16/4/2007,3ª série,Lagoa Santa,18/08/2024 22:45,02/10/2024,Rematrícula,"30,00%",25.748
CL13259,,2º ano,,18/08/2024 22:46,,Rematrícula,,
CL1326,12/02/2009,2ª série,Lagoa Santa,18/08/2024 22:46:00,19/09/2024,Rematrícula,"100,00%",523.0
CL13261,26/08/2007,3ª série,Carlos Prates,18/08/2024 22:46,28/10/2024,Rematrícula,"50,00%",18.162
CL13265,2/3/2009,2ª série,Ouro Preto Integral,18/08/2024 22:47,21/10/2024,Rematrícula,"22,20%",30.718
CL13268,,2ª série,,18/08/2024 22:47,,Rematrícula,,
CL1327,05/04/2011,9º ano,Ouro Preto,18/08/2024 22:45:00,01/12/2024,Rematrícula,"40,00%",20.833
CL13270,27/11/2006,3ª série,Carlos Prates,18/08/2024 22:46,29/09/2024,Rematrícula,"39,00%",22.585
CL13273,,Infantil 2,,18/08/2024 22:46,,Rematrícula,,
CL13274,29/5/2012,8º ano,Jardim Canadá,18/08/2024 22:46,26/08/2024,Rematrícula,"41,70%",20.021
CL13287,13/04/2008,2ª série,Lagoa Santa,18/08/2024 22:47,24/01/2025,Rematrícula,"60,00%",14.118
CL13292,,6º ano,,18/08/2024 22:46,,Rematrícula,,
CL13293,18/2/2011,9º ano,Ouro Preto,18/08/2024 22:46,30/09/2024,Rematrícula,"50,00%",17.818
CL13300,04/06/2009,2ª série,Ouro Preto,18/08/2024 22:44,08/10/2024,Rematrícula,"30,00%",26.431
CL13304,10/4/2011,9º ano,Jardim Canadá,18/08/2024 22:45,13/10/2024,Rematrícula,"50,00%",17.555
CL1331,5/9/2019,Infantil 5,Castelo,18/08/2024 22:44:00,11/12/2024,Rematrícula,"50,00%",11.627
CL13310,21/08/2021,Infantil 3,Jardim Canadá,18/08/2024 22:46,27/01/2025,Rematrícula,"43,00%",15.128
CL13320,31/1/2008,2ª série,Alípio de Melo,18/08/2024 22:46,09/12/2024,Rematrícula,"30,00%",22.513
CL13324,22/05/2011,9º ano,Ouro Preto,18/08/2024 22:47,26/09/2024,Rematrícula,"25,00%",25.356
CL13325,2/7/2013,6º ano,Santa Amélia,18/08/2024 22:47,26/12/2024,Rematrícula,"20,80%",24.018
CL13327,06/04/2009,2ª série,Alípio de Melo,18/08/2024 22:46,29/11/2024,Rematrícula,"35,00%",20.573
CL13331,12/03/2013,7º ano,Carajás,18/08/2024 22:45,21/01/2025,Rematrícula,"100,00%",21.475
CL13333,07/10/2009,1ª série,Santa Amélia,18/08/2024 22:46,27/08/2024,Rematrícula,"49,50%",17.977
CL13334,08/01/2016,4º ano bilíngue,Mais Cidade Nova,18/08/2024 22:44,05/11/2024,Rematrícula,"67,50%",17.704
CL1334,03/06/2016,3º ano bilíngue,Carajás,18/08/2024 22:45:00,11/12/2024,Rematrícula,"100,00%",32.408
CL13343,4/1/2022,Infantil 3,Ouro Preto,18/08/2024 22:46,03/12/2024,Rematrícula,"65,00%",9.797
CL13346,27/02/2009,2ª série,Gutierrez,18/08/2024 22:46,03/10/2024,Rematrícula,"100,00%",0.0
CL13350,,2ª série,,18/08/2024 22:44,,Rematrícula,,
CL13357,7/7/2010,9º ano,Carajás,18/08/2024 22:45,13/01/2025,Rematrícula,"100,00%",23.427
CL13378,12/8/2007,3ª série,Carajás,18/08/2024 22:46,27/12/2024,Rematrícula,"100,00%",24.615
CL13387,21/5/2007,3ª série,Gutierrez,18/08/2024 22:46,18/10/2024,Rematrícula,"36,10%",29.518
CL13389,27/06/2007,3ª série,Carajás,18/08/2024 22:45,13/01/2025,Rematrícula,"100,00%",24.615
CL1339,,3º ano,,18/08/2024 22:44:00,,Rematrícula,,
CL13392,,9º ano,,18/08/2024 22:46,,Rematrícula,,
CL1340,,3º ano,,18/08/2024 22:44:00,,Rematrícula,,
CL13401,07/11/2008,1ª série,Carajás,18/08/2024 22:44,13/01/2025,Rematrícula,"100,00%",24.615
CL13402,29/07/2014,5º ano bilíngue,Carajás,18/08/2024 22:44,30/11/2024,Rematrícula,"100,00%",32.408
CL13407,,5º ano,,18/08/2024 22:45,,Rematrícula,,
CL13413,1/7/2011,8º ano,Jardim Canadá,18/08/2024 22:46,11/10/2024,Rematrícula,"40,00%",20.526
CL13416,,6º ano,,18/08/2024 22:46,,Rematrícula,,
CL13419,,8º ano,,18/08/2024 22:47,,Rematrícula,,
CL13420,21/12/2008,2ª série,Conceição do Mato Dentro,18/08/2024 22:47,21/01/2025,Rematrícula,"100,00%",1.745
CL13424,28/10/2011,8º ano,Conceição do Mato Dentro,18/08/2024 22:46,26/12/2024,Rematrícula,"100,00%",13.409
CL1343,24/03/2014,6º ano,Ouro Preto,18/08/2024 22:44:00,28/08/2024,Rematrícula,"36,00%",22.04
CL13430,30/10/2008,2ª série,Lagoa Santa,18/08/2024 22:46,19/12/2024,Rematrícula,"40,10%",19.841
CL13431,20/2/2013,7º ano,Mais Pampulha,18/08/2024 22:46,09/01/2025,Rematrícula,"64,00%",15.438
CL13432,24/10/2010,9º ano,Conceição do Mato Dentro,18/08/2024 22:46,10/12/2024,Rematrícula,"100,00%",13.409
CL1344,17/09/2013,6º ano,Gutierrez,18/08/2024 22:45:00,18/11/2024,Rematrícula,"55,00%",15.53
CL13444,20/02/2013,7º ano,Carajás,18/08/2024 22:45,11/12/2024,Rematrícula,"100,00%",23.427
CL13446,13/08/2007,3ª série,Jaraguá,18/08/2024 22:44,27/12/2024,Rematrícula,"35,60%",23.789
CL13447,11/6/2012,8º ano,Jardim Canadá,18/08/2024 22:45,22/11/2024,Rematrícula,"100,00%",540.0
CL13464,10/10/2008,2ª série,Conceição do Mato Dentro,18/08/2024 22:47,29/11/2024,Rematrícula,"100,00%",20.942
CL13465,23/07/2012,7º ano,Alípio de Melo,18/08/2024 22:45,29/10/2024,Rematrícula,"60,00%",11.457
CL13466,15/07/2008,2ª série,Carajás,18/08/2024 22:47,27/12/2024,Rematrícula,"100,00%",0.0
CL13474,17/09/2015,4º ano bilíngue,Mais Pampulha,18/08/2024 22:44,02/10/2024,Rematrícula,"49,10%",28.388
CL13478,01/07/2015,4º ano,Jardim Canadá,18/08/2024 22:45,13/12/2024,Rematrícula,"48,00%",15.527
CL13482,,3º ano,,18/08/2024 22:45,,Rematrícula,,
CL13483,11/09/2016,3º ano,Lagoa Santa,18/08/2024 22:46,16/10/2024,Rematrícula,"100,00%",0.0
CL13487,,1ª série,,18/08/2024 22:45,,Rematrícula,,
CL13488,,2ª série,,18/08/2024 22:44,,Rematrícula,,
CL13495,,9º ano,,18/08/2024 22:44,,Rematrícula,,
CL13499,5/12/2012,7º ano bilíngue,Carajás,18/08/2024 22:45,06/12/2024,Rematrícula,"100,00%",38.376
CL13502,14/12/2009,9º ano,Carajás,18/08/2024 22:45,18/12/2024,Rematrícula,"100,00%",23.427
CL13506,07/04/2011,8º ano,Carajás,18/08/2024 22:44,10/12/2024,Rematrícula,"100,00%",23.427
CL13508,31/5/2010,9º ano,Carajás,18/08/2024 22:46,03/12/2024,Rematrícula,"100,00%",23.427
CL1351,20/07/2007,3ª série,Ouro Preto Integral,18/08/2024 22:46:00,08/11/2024,Rematrícula,"50,00%",24.153
CL13521,,1ª série,,18/08/2024 22:46,,Rematrícula,,
CL13535,21/06/2018,1º ano,Carlos Prates,18/08/2024 22:45,03/12/2024,Rematrícula,"55,00%",11.327
CL1355,9/9/2013,6º ano bilíngue,Carajás,18/08/2024 22:45:00,16/12/2024,Rematrícula,"100,00%",38.376
CL13551,,9º ano,,18/08/2024 22:45,,Rematrícula,,
CL13554,10/07/2015,4º ano,Jaraguá,18/08/2024 22:44,08/10/2024,Rematrícula,"32,00%",17.0
CL13555,19/07/2010,9º ano,Carajás,18/08/2024 22:44,12/12/2024,Rematrícula,"100,00%",23.427
CL13561,,5º ano bilíngue,,18/08/2024 22:45,,Rematrícula,,
CL1357,,8º ano,,18/8/2024 22:46:00,,Rematrícula,,
CL13571,18/3/2015,5º ano bilíngue,Carajás,18/08/2024 22:46,29/11/2024,Rematrícula,"100,00%",32.408
CL13574,22/10/2007,3ª série,Mais Belvedere,18/08/2024 22:45,12/11/2024,Rematrícula,"70,00%",15.652
CL13575,28/10/2012,7º ano,Conceição do Mato Dentro,18/08/2024 22:47,18/12/2024,Rematrícula,"25,00%",14.765
CL13583,26/10/2014,5º ano,Alípio de Melo,18/08/2024 22:46,27/09/2024,Rematrícula,"65,00%",9.723
CL13589,29/10/2012,7º ano,Conceição do Mato Dentro,18/08/2024 22:47,03/12/2024,Rematrícula,"60,00%",8.62
CL13593,3/3/2018,2º ano,Castelo,28/08/2024 15:54,30/08/2024,Rematrícula,"56,00%",11.708
CL13595,,1º ano,,18/08/2024 22:46,,Rematrícula,,
CL13596,14/01/2014,6º ano,Ouro Preto,18/08/2024 22:44,21/10/2024,Rematrícula,"35,00%",22.341
CL13597,21/2/2011,9º ano,Carlos Prates,18/08/2024 22:46,03/12/2024,Rematrícula,"53,20%",13.768
CL13600,8/7/2018,1º ano,Jaraguá,18/08/2024 22:46,21/12/2024,Rematrícula,"50,00%",13.031
CL13603,27/2/2009,2ª série,Mais Cidade Nova,18/08/2024 22:46,19/12/2024,Rematrícula,"70,00%",14.736
CL13607,7/4/2018,2º ano,Carajás,18/08/2024 22:46,21/11/2024,Rematrícula,"100,00%",22.238
CL13610,20/09/2014,5º ano,Ouro Preto,18/08/2024 22:44,06/11/2024,Rematrícula,"40,30%",17.664
CL13616,24/03/2013,7º ano,Santa Amélia,18/08/2024 22:47,29/10/2024,Rematrícula,"100,00%",0.0
CL13619,5/6/2007,3ª série,Gutierrez,18/08/2024 22:47,25/11/2024,Rematrícula,"100,00%",735.0
CL13622,,3ª série,,18/08/2024 22:44,,Rematrícula,,
